부서,페이지,정보
감사담당관,1,감사담당관 | 감사담당관 | 감사담당관 업무 총괄 | 02-2116-2520
미래교육국,1,미래교육과 | 주무관 | - 수학문화관 총괄 - 미래교육지구사업 총괄 - 교육자원 연계 업무 | 02-2116-3243
미래교육국,1,미래교육과 | 주무관 | -교육경비(초등) - 친환경 학교급식 지원 - 학교급식 우수 식재료 공급업체 선정 및 관리 - 친환경 학교급식 교육·홍보사업 | 02-2116-3227
미래교육국,1,"미래교육과 | 주무관 | ㆍ노원평생교육원(음악,건강,교양·외국어), 구민정보화교육 프로그램 운영 ㆍ노원평생교육원 대관 | 02-2116-4002"
미래교육국,1,미래교육과 | 주무관 | - 노원수학문화관 총괄 | 02-2116-2170
미래교육국,2,"미래교육과 | 주무관 | 민방위, 마을커뮤니티공간(수락행복발전소, 수락숲이랑) 운영 지원, 작은도서관 관리 | 02-2116-2746"
미래교육국,2,"미래교육과 | 주무관 | - 수학문화관 운영팀 업무 총괄 - 민원, 각종 보고, 의회에 관한 사항 등 | 02-2116-2174"
미래교육국,2,미래교육과 | 주무관 | • 노원평생교육포털 홈페이지 전산관리 및 홍보 업무 • 경계선지능인 평생교육지원센터 운영 등 | 02-2116-3983
미래교육국,2,"미래교육과 | 주무관 | - 노원교육플랫폼 운영 관리 - 교육(진학, 진로)관련 상담 및 프로그램 운영 | 02-2116-4439"
미래교육국,2,미래교육과 | 주무관 | 보건행정팀 업무총괄 | 02-2116-4586
미래교육국,2,"미래교육과 | 주무관 | - AI코딩, 수학+음악=힐링 - LED전광판 영상 관리 - 공유재산 관련 등 | 02-2116-2185"
미래교육국,2,"미래교육과 | 주무관 | 주차관련민원, 상담민원 등 | 02-2116-4086"
미래교육국,2,"미래교육과 | 주무관 | - 학교단체 창의체험 - 해설사 운영, QR제작, 운영 등 | 02-2116-2182"
미래교육국,2,"미래교육과 | 주무관 | - 주말 창의체험 프로그램 운영 - 수학놀이터, 영화관 운영 등 | 02-2116-2180"
미래교육국,2,"미래교육과 | 주무관 | - 급여,회계,직원복무 - 운영위원회 운영, 수학문화관 근로자 노무 관리 등 | 02-2116-2171"
미래교육국,3,미래교육과 | 주무관 | - 노원수학문화관 시설 총괄 | 02-2116-2178
미래교육국,3,"미래교육과 | 주무관 | - 청소년수학동아리 운영 - 어울림시네마, 찾아가는 수학교실 - QR 제작 등 | 02-2116-2175"
미래교육국,3,"미래교육과 | 주무관 | - 안내데스크 관리, 이용 만족도 조사 - 수학도서관 등 | 02-2116-2179"
미래교육국,3,미래교육과 | 주무관 | - 노원미래교육지원센터 업무 및 사업 총괄 - 민관학 네트워크 구축 및 운영 총괄 | 02-2116-3229
미래교육국,3,미래교육과 | 주무관 | - 청소년 자치활동강화 사업 운영 - 심리정서지원사업 운영 - 학교분과 운영 관리 | 02-2116-3230
미래교육국,3,"미래교육과 | 주무관 | - 창의체험버스지원 운영 - 마을방과후활동 지원 운영 - 마을청소년분과 운영 관리 - 청소년동아리(마중물, 시작된변화) | 02-2116-3228"
미래교육국,3,"미래교육과 | 주무관 | - 학부모참여활동 지원 사업 운영 - 청소년 진로, 직업 교육 지원 - 학부모지원분과 운영 관리 | 02-2116-3242"
미래교육국,3,미래교육과 / 교육정책팀 | 교육정책팀장 | 교육정책팀 업무 총괄 | 02-2116-3990
미래교육국,3,미래교육과 / 학교지원팀 | 학교지원팀장 | 학교지원팀 업무 총괄 | 02-2116-0676
미래교육국,3,미래교육과 / 평생교육사업팀 | 평생교육사업팀장 | 평생교육사업팀 업무 총괄 | 02-2116-2642
미래교육국,4,미래교육과 / 평생교육운영팀 | 평생교육운영팀장 | 평생교육운영팀 업무 총괄 | 02-2116-4144
미래교육국,4,미래교육과 / 평생교육운영팀 | 주무관 | 중계글로벌교육원 운영 등 | 02-2116-4001
미래교육국,4,보육가족과 | 보육가족과장 | 보육가족과 업무 총괄 | 02-2116-3740
미래교육국,4,보육가족과 | 주무관 | ○ 노원구가족센터(건강가정 및 다문화) 위탁운영 및 관리 ○ 저출생 대응 종합계획 수립 ○ 다자녀가정 지원사업 총괄(다둥이행복카드 등) ○ 건강가정기본계획 수립 ○ 의회자료 및 주요업무계획 관리 | 02-2116-3721
미래교육국,4,"보육가족과 | 주무관 | ○인사, 예산(회계), 봉급 및 제수당 관리 ○기록물 운영관리, 주요업무계획, 회의자료, 충무계획 | 02-2116-3716"
미래교육국,4,보육가족과 | 주무관 | ○ 어린이집 지도점검 총괄 계획 수립 ○ 노원 안심어린이집 선정 및 관리(지급) 총괄 ○ 어린이집 회계관리시스템 관리 ○ 유보통합 ○ 어린이집 원장 및 보육교직원 연수 | 02-2116-3731
미래교육국,4,"보육가족과 | 주무관 | ○ 보육지원예산 총괄, 보육료 예탁 관리 ○ 민간·가정어린이집 인가 및 보조금 지원 ○ 보조(연장)교사 및 보육도우미 지원사업 ○ 민간·가정어린이집 기능보강 사업 ○ 서울시 신규사업, 구 자체사업 ○ 서울형 0세전담반시범사업 | 02-2116-3724"
미래교육국,4,보육가족과 | 주무관 | ○여성정책 계획 및 수립 ○양성평등정책 기본 계획 수립 및 시행 ○양성평등위원회 운영 ○양성평등기금운용 및 심의회 운영 ○성인지 및 양성평등교육 운영 ○성별영향평가 사업(성별평가위원회 운영 포함) ○양성평등주간 기념행사 ○여성단체장연합회 운영 지원(민간단체보조금 지원사업 포함) | 02-2116-3737
미래교육국,4,"보육가족과 | 주무관 | ○ 저소득 한부모가족 책정 및 제외(중지 및 변경) ○ 저소득 한부모가족 지원사업 ○ 한부모가족복지시설 관리 (운영지원, 생계급여, 시설관리 및 지도점검 등) ○ 청소년한부모 아동양육비 지원사업 | 02-2116-3715"
미래교육국,4,보육가족과 | 주무관 | ○ 어린이집 지도점검 ○ 노원안심어린이집 관리지원 ○ 보육교직원 보수교육 및 누리교육 ○ 서울형 모아어린이집 운영 ○ 보육인의 날 ○ 민간어린이집 연합회 | 02-2116-3713
미래교육국,5,"보육가족과 | 주무관 | ○가족친화인증 사업 ○성희롱·성폭력 고충상담원 업무 ○성폭력, 가정폭력 피해자, 강제동원 피해자 지원 ○성희롱 등 4대폭력예방교육 운영 ○폭력피해지원시설 운영 지원 ○불법촬영시민감시단 운영 ○지역사회보장협의체 여성분과 | 02-2116-3735"
미래교육국,5,보육가족과 | 주무관 | 자동차 정기(종합)검사 | 02-2116-4050
미래교육국,5,보육가족과 | 주무관 | ○ 부모급여 지급 및 대상자 결정·관리 ○ 가정양육수당 지급 및 대상자 결정·관리 ○ 청소년부모 아동양육비 지원사업 | 02-2116-3743
미래교육국,5,보육가족과 | 주무관 | ○ 민간·가정·직장어린이집 인가 및 보조금 지원 ○ 직접채용 대체 및 서울형 전임교사 지원사업 ○ 보육교직원 경력·재직증명서 발급 ○ 어린이집 IOT기반 환경센서 지원사업 | 02-2116-3728
미래교육국,5,"보육가족과 | 주무관 | -생명존중사업, 한부모가족 -자활 | 02-2116-2263"
미래교육국,5,"보육가족과 | 주무관 | ○ 아동수당, 첫만남이용권 지급 및 대상자 결정·관리 ○ 노원아이편한택시, 서울엄마아빠택시 사업 ○ 세자녀이상 가정 지원품(문화상품권) ○ 산후조리 경비 지원, 임산부 교통비 지원 ○ 1인 자영업자 등 임산부, 배우자 출산급여 지원 ○ 행복출산 원스톱서비스 | 02-2116-3722"
미래교육국,5,"보육가족과 | 주무관 | - 복지대상자 통합조사(하계1동, 중계본동, 중계4동, 상계2동, 상계3,4동, 상계5동) - 타부처 및 지자체 사업 신규 조사 (임대주택, 초중고교육비, 통장사업 등 기타 공적자료 조회) - 기타업무(장애연금, 차상위확인계층, 임대주택, 통장사업 등)책정 사업팀 통보 | 02-2116-4950"
미래교육국,5,"보육가족과 | 주무관 | ○ 아이돌봄사업 지원 및 운영관리 ○ 서울형 아이돌봄비 지원사업 ○ 서울형 가사서비스, 서울키즈 오케이존 지원사업 ○ 출산장려사업(아기 돌 기념사진 촬영지원, 아기신분증 발급) | 02-2116-3741"
미래교육국,5,"보육가족과 | 주무관 | • 사업예산 편성(도시계획국, 힐링도시국) • 市 예산 분석 및 자료 작성 • 재정공시·재정분석 • 예산의 성과계획서 관리 • 예비비 운영 • 예산배정계획 수립(수시·정기) | 02-2116-3164"
미래교육국,5,보육가족과 | 주무관 | ○ 국공립어린이집 확충 ○ 국공립어린이집 보조금 총괄 ○ 국공립어린이집 보조금 지원 및 지도점검 ○ 보육정책위원회 운영 및 관리 ○ 국공립어린이집 기능보강 ○ 어린이날 축제 지원 ○ 국공립어린이집 연합회 관리 | 02-2116-3733
미래교육국,6,보육가족과 | 주무관 | ○ 육아종합지원센터 및 공동육아방 운영 ○ 국공립어린이집 지도점검 총괄 ○ 국공립 전환형 어린이집 보조금 지원 및 지도점검 ○ 서울형 키즈카페 확충 및 운영 ○ 유아차소독기 설치 및 관리 ○ 공공근로 운영 및 관리 | 02-2116-3719
미래교육국,6,보육가족과 / 보육행정팀 | 보육행정팀장 | 보육행정팀 업무 총괄 | 02-2116-3171
미래교육국,6,보육가족과 / 보육지원팀 | 보육지원팀장 | 보육지원팀 업무 총괄 | 02-2116-3729
미래교육국,6,보육가족과 / 양성평등팀 | 양성평등팀장 | 양성평등팀 업무 총괄 | 02-2116-3739
미래교육국,6,보육가족과 / 출생지원팀 | 출생지원팀장 | 출생지원팀 업무 총괄 | 02-2116-3723
미래교육국,6,아동청소년과 | 주무관 | ◦ 아동학대전담공무원 및 업무 총괄(신고접수·현장조사·응급조치 등) ◦ 아동학대예방협의체 운영(아동학대 정보연계 협의체 운영) | 02-2116-4436
미래교육국,6,아동청소년과 | 아동청소년과장 | 아동청소년과 업무 총괄 | 02-2116-0572
미래교육국,6,아동청소년과 | 주무관 | ◦서 무 | 02-2116-0575
미래교육국,6,아동청소년과 | 주무관 | ◦ 청소년안전망사업 전담 ◦ 청소년안전망 통합지원센터 운영 ◦ 노원구청소년상담복지센터 운영 지원 ◦ 청소년안전망 중장기운영계획 수립 ◦ 청소년정책협의회 청소년안전망분과 운영 ◦ 청소년복지 심의위원회 및 실무위원회 운영 ◦ 청소년안전망 긴급대응체계 운영 등 | 02-2116-0581
미래교육국,6,"아동청소년과 | 주무관 | ◦ 온종일 돌봄 생태계 운영 총괄 지원 ◦ 아이휴센터 운영 및 관리 - 아이휴센터 신규 조성 및 매입,전세계약 - 아이휴센터 시설보강 등 ◦노원구 온종일돌봄사업단 지원 | 02-2116-0583"
미래교육국,7,"아동청소년과 | 주무관 | ◦ 온종일 돌봄 생태계 운영 총괄 지원 ◦ 아이휴센터 운영 및 관리 - 아이휴센터 신규 조성 및 매입,전세계약 - 아이휴센터 시설보강 등 ◦노원구 온종일돌봄사업단 지원 | 02-2116-0583"
미래교육국,7,아동청소년과 | 주무관 | ◦ 아동학대전담공무원 및 업무 총괄(신고접수·현장조사·응급조치 등) ◦ 자원봉사자 구성 및 관리(전문자원봉사자 모집 및 운영) ◦ 아동학대예방 캠페인 및 홍보(홈페이지 총괄) | 02-2116-4426
미래교육국,7,"아동청소년과 | 주무관 | 장애인복지, 정부양곡, 무임승차카드발급, 통장사업(희망저축계좌, 청년내일저축계좌) | 02-2116-2542"
미래교육국,7,"아동청소년과 | 주무관 | ◦ 지역사회서비스투자사업 업무(예산 총괄) ◦ 지역사회서비스투자사업 평가 및 점검 ◦ 지역사회서비스투자사업 제공기관 등록, 관리 및 점검 ◦ 지역사회서비스투자사업 대상자 관리(재판정 등) ◦ 여성청소년 보건위생용품 지원 사업 | 02-2116-4407"
미래교육국,7,아동청소년과 | 주무관 | ◦ 청소년정책에 관한 기본계획 수립 및 추진 ◦ 청소년정책협의회 청소년문화참여정책분과 운영 ◦ 상상이룸센터 운영지원(청소년기자단 포함) ◦ 상계청소년문화의집 운영지원 ◦ 노해근린공원 청소년아지트 조성 ◦ 중계문화보건센터 청소년문화시설 조성 ◦ 상계3.4동 청소년문화시설 건립(청소년시설 확충) ◦ 노원형 아동·청소년친화도시 협력 ◦ 시립노원청소년센터 지원 | 02-2116-0577
미래교육국,7,아동청소년과 | 주무관 | ◦ 아이휴센터 운영 및 관리 총괄 ◦ 아이휴센터 운영점검 및 안전점검 ◦ 거점형 키움센터 운영지원 및 관리 | 02-2116-0588
미래교육국,7,"아동청소년과 | 주무관 | 돌봄SOS, 희망온돌 따뜻한겨울나기, 자원봉사캠프 등 | 02-2116-2544"
미래교육국,7,"아동청소년과 | 주무관 | ◦ 청소년아지트 운영 지원(미트업, 미트온, 차오름) ◦ 대안교육 위탁교육기관 운영 지원(3개 학교) ◦ 노원청소년성상담센터 운영 지원 ◦ 학교밖청소년지원센터 운영 지원 ◦ 청소년특별지원사업 ◦ 청소년지도협의·청소년육성회 지원 관리 | 02-2116-0576"
미래교육국,7,"아동청소년과 | 주무관 | ◦ 지역아동센터 예산 및 운영 지원 ◦ 지역아동센터 운영 및 관리 지원 - 중계본동, 월계1~3동, 공릉1~2동 : 11개소 ◦ 불암골행복발전소 지역아동센터 시설 유지·관리 | 02-2116-0587"
미래교육국,7,아동청소년과 | 주무관 | ◦ 아동학대전담공무원(신고접수·현장조사·응급조치 등) ◦ 학대피해아동 쉼터 관리 | 02-2116-4408
미래교육국,8,아동청소년과 | 주무관 | ◦ 아동학대전담공무원(신고접수·현장조사·응급조치 등) ◦ 위기아동발굴시스템 업무 | 02-2116-4434
미래교육국,8,"아동청소년과 | 주무관 | ◦ 지역아동센터 예산 및 운영 지원 총괄 ◦ 지역아동센터 운영 및 관리 지원 - 상계1~10동, 중계1~4동, 하계1~2동 : 11개소 ◦ 노원구지역아동센터협의회 지원 | 02-2116-0584"
미래교육국,8,아동청소년과 | 주무관 | ◦노해체육공원 청소년 체육시설 직영 운영 ◦X게임장 활성화 구축 및 운영 ◦청소년보호법 및 청소년유해환경감시단 지원등 | 02-2116-0578
미래교육국,8,"아동청소년과 | 주무관 | ◽노원아동복지관 운영 총괄 ◽노원아동복지관 아동전용놀이문화공간 운영 총괄 - 프로그램 기획 및 운영, 물품 및 비품관리, 홍보, SNS관리 - 이용 아동 관리, 어르신일자리 참여자 관리 ◽매력일자리 사업 참여자 관리(채용, 복무, 교육, 인건비 등) ◽향기나무카페 운영 및 관리 ◽노원아동복지관 자원봉사자 모집 및 봉사활동 관리 총괄 ◽노원아동복지관 관련 협의체 운영 - 전문가협의회, 시설운영위원회, 향기나무카페 운영위원회 ◽노원아동복지관 내 도서관 및 민간기관 운영 지원 ◽노원아동복지관 외부 유관기관 협력 ◽노원아동복지관 보안 및 시설물 관리 ◽기타 타직원에 속하지 않는 노원아동복지관 업무 | 02-2116-4406"
미래교육국,8,"아동청소년과 | 주무관 | - 복지대상자 통합관리(월계2동 주공 105~108동, 청백 103~106동, 청백3~4단지, 기타아파트, 상계9동 13단지) - 복지급여 생성 및 지급(월계2동 생계, 주거급여, 상계9동 주거급여) - 복지대상자 자격변동(소득, 재산, 인적정비 등) 및 부적정수급자 조사관리 - 통합복지관련 일반업무 및 보장비용 관련 업무 - 한부모가족, 장애인급여(장애연금) 소요액 보고 | 02-2116-3701"
미래교육국,8,"아동청소년과 | 주무관 | ◦(하쿠나마타타, 오락실, 끌림, 엔터아지트) 시설운영 지원 ◦ 청소년이 기획하는 청소년축제 운영 ◦ 청소년정책협의회 청소년참여분과 운영 ◦ 시설 종사자 워크숍 추진, 청소년증 발급 관리 ◦ 청소년 관련 비영리법인․단체관리 | 02-2116-0586"
미래교육국,8,아동청소년과 | 주무관 | ◦ 아동․청소년 친화도시 활성화 총괄 지원 ◦ 유니세프 아동친화도시 추진 업무 ◦ 아동청소년친화도시추진위원회 운영 ◦ 아동정책협의회 운영 ◦ 아동권리옴부즈퍼슨 운영 ◦ 아동정책영향평가 실시 ◦ 노원구지역사회보장협의회 아동청소년분과 | 02-2116-0585
미래교육국,8,"아동청소년과 | 주무관 | ◦노원아동복지관 공공상담소 운영 총괄 ◦노원아동복지관 공공상담소 상담사 관리 ◦노원아동복지관 자원봉사자 관리 ◦노원아동복지관 홍보 및 대관 ◦노원아동복지관 물품 및 비품 관리 ◦노원아동복지관 운영 지원 (동행일자리, 당직 등) | 02-2116-4405"
미래교육국,8,아동청소년과 | 주무관 | ◦ 아동학대전담공무원 ◦ 영유아 학대피해아동 아동보호쉼터 관리 | 02-2116-4446
미래교육국,8,아동청소년과 | 주무관 | ◦아픈아이 돌봄센터 운영 | 02-930-4290
미래교육국,9,아동청소년과 | 주무관 | ◦ 아동학대 전담공무원(신고접수·현장조사·응급조치 등) | 02-2116-0574
미래교육국,9,아동청소년과 | 주무관 | ◦노원형 돌봄 2.0 플러스 추진 ◦지역아동센터 지원 등 | 02-2116-0589
미래교육국,9,아동청소년과 | 주무관 | o 여권 심사 o 영문 변경 신청자 심사 요청 o 기재사항 변경 처리 o 여권 교부 및 여권 대조 판독 지원 o 긴급 여권 발급 및 관리 | 02-2116-3282
미래교육국,9,"아동청소년과 | 주무관 | ◦ 아동학대 사례관리 업무 총괄, 슈퍼비전, 협력체계 구축 및 연계 ◦ 아동학대 사례관리, 종결전모니터링, 종결후개입 ◦ 국가아동학대정보시스템 관리 ◦ 피해아동보호명령 의견서, 보호처분 이행관리 | 010-2116-4433"
미래교육국,9,"아동청소년과 | 주무관 | ◦ 아동학대 사례관리, 종결전모니터링, 종결후개입 ◦ 국가아동학대정보시스템 입력 ◦ 피해아동보호명령 의견서, 임시조치, 보호처분 이행관리 | 02-2116-4427"
미래교육국,9,아동청소년과 | 주무관 | ◦ 아동복지시설 지원 및 점검 ◦ 아동보호전담요원보수지급 | 02-2116-4410
미래교육국,9,"아동청소년과 | 주무관 | ◦ 보호대상아동 자격취득비, 언제든 두드려요 노원 사업 운영 ◦ 보호종료아동 사후관리 총괄 ◦ 내부사례회의 ◦ 시설 자립준비청년 자립지원상담 및 사후관리 ◦ 노원구아동위원협의회 운영 ◦ 자립준비청년 보호·지원 협의체 ◦ 아동보호전담요원 사업 운영(사업비집행) 총괄 ◦보호대상아동사업 사업 운영 총괄 | 02-2116-4419"
미래교육국,9,"아동청소년과 | 주무관 | ○ 전문멘토(언제든 기댈 수 있는 어른)사업 운영 ○ 보호아동 관리지원(양육상황점검,면접교섭,보호종료,원가정복귀 등) - 가정위탁(상계67,공릉,월계,하계), 공동생활가정(하늬네), 아동양육시설(성모자애드림힐) ○ ③보호대상아동(신규) 보호조치에 관한 사항 ○ ②타 시군구 사후관리 보호조치에 관한 사항 | 02-2116-4449"
미래교육국,9,"아동청소년과 | 주무관 | ○ 아동양육시설 보호아동(입양 및 무연고아동 행정처리) 총괄 ○ 직원역량강화교육 운영 ◌ 보호아동 관리지원(양육상황점검,면접교섭,보호종료,원가정복귀 등) - 가정위탁(중계동), 공동생활가정(가온나래), 아동양육시설(성모자애드림힐) ○ ④보호대상아동(신규) 보호조치에 관한 사항 ○ ①타 시군구 사후관리 보호조치에 관한 사항 | 02-2116-4435"
미래교육국,9,아동청소년과 / 청소년복지팀 | 청소년복지팀장 | 청소년복지팀 업무 총괄 | 02-2116-0573
미래교육국,10,"아동청소년과 / 청소년복지팀 | 사례관리사 | ◦ 사례회의 총괄 운영(통합사례회의, 모니터링 회의 등) ◦ 위기청소년 맞춤형지원서비스 및 긴급지원 연계 ◦ 위기청소년 통합사례관리 및 사후관리 ◦ 청소년안전망 선도사업 평가 및 실적관리 ◦ 위기청소년 발굴 연계망 구축(보호관찰소, 주민센터, 지역기관) | 02-2116-2117"
미래교육국,10,아동청소년과 / 아동친화정책팀 | 아동친화정책팀장 | 아동친화정책팀 업무 총괄 | 02-2116-0579
미래교육국,10,아동청소년과 / 아동친화정책팀 | 지역사회복지사 | ◦ 지역사회돌봄 필요아동 발굴 및 연계 ◦ 지역아동센터 (돌봄서비스 결정통지)지원 등 | 02-2116-0594
미래교육국,10,아동청소년과 / 드림스타트팀 | 드림스타트팀장 | 드림스타트팀 업무 총괄 | 02-2116-4420
미래교육국,10,"아동청소년과 / 드림스타트팀 | 아동통합사례관리사 | ◦아동통합사례관리 – C, E권역 ◦맞춤서비스 – 찾아가는아동발달놀이상담, 맞춤코칭 ◦신규 아동통합사례관리사 교육 및 내부 슈퍼바이저 ◦종사자역량강화교육 ◦행사-가족소풍 | 02-2116-4423"
미래교육국,10,아동청소년과 / 아동보호팀 | 아동보호팀장 | 아동보호팀 업무 총괄 | 02-2116-4409
미래교육국,10,"아동청소년과 / 아동보호팀 | 아동보호전문기관 심리치료사 | ◦ 학대피해아동 및 사례관리 대상자, 가족 심리치료 ◦ 심리치료,심리검사 연계 및 연계기관 관리 ◦ 외부지원사업(신한솔, 자원연계 등) 실무 | 02-2116-4447"
미래교육국,10,"아동청소년과 / 아동보호팀 | 아동학대사례관리상담원 | ◦아동학대 사례관리, 종결전모니터링, 종결후개입 ◦ 국가아동학대정보시스템 입력 ◦ 피해아동보호명령 의견서, 임시조치, 보호처분 이행관리 | 02-2116-4450"
미래교육국,10,"아동청소년과 / 아동보호팀 | 아동보호전문기관 사례관리2팀장 | ◦ 학대피해아동 및 가정 사례관리 ◦ 보호처분 이행관리, 피해아동 가정 사후관리 ◦ 가족지원사업(부모교실, 가족체험활동 등) 기획 및 진행 ◦ 방문형가정회복사업 총괄(예산 집행, 사업 추진 등) ◦ 국가시스템 담당자 지정 및 총괄 ◦ 상담원 교육 총괄 | 02-2116-4445"
미래교육국,10,"아동청소년과 / 아동보호팀 | 아동학대사례관리상담원 | ◦아동학대 사례관리, 종결전모니터링, 종결후개입 ◦ 국가아동학대정보시스템 입력 ◦ 피해아동보호명령 의견서, 임시조치, 보호처분 이행관리 ◦방문형 사업 실무, 실적관리 ◦외부사업(자원연계 등)실무 | 02-2116-4430"
미래교육국,11,"아동청소년과 / 아동보호팀 | 아동학대사례관리상담원 | ◦아동학대 사례관리, 종결전모니터링, 종결후개입 ◦ 국가아동학대정보시스템 입력 ◦ 피해아동보호명령 의견서, 임시조치, 보호처분 이행관리 ◦방문형 사업 실무, 실적관리 ◦외부사업(자원연계 등)실무 | 02-2116-4429"
미래교육국,11,아동청소년과 / 아동보호팀 | 아동학대사례관리상담원 |  | 02-2116-4404
미래교육국,11,"아동청소년과 / 아동보호팀 | 아동학대사례관리상담원 | ◦아동학대 사례관리, 종결전모니터링, 종결후개입 ◦국가아동학대정보시스템 입력 ◦피해아동보호명령 의견서, 임시조치, 보호처분 이행관리 ◦방문형 사업 실무, 실적관리 ◦외부사업(자원연계 등) 실무 | 02-2116-4444"
미래교육국,11,청년정책과 | 주무관 | - 노원청년일삶센터 운영 - 청년도전지원사업 운영 - 가족돌봄청년 지원사업 | 02-2116-7123
미래교육국,11,청년정책과 | 주무관 | - 서무 - 청년 공유오피스 총괄 | 02-2116-7104
미래교육국,11,청년정책과 | 주무관 | - 청년정책 시행계획 수립 - 청년친화도시 조성 추진 - 서울청년센터 노원 운영 활성화 - 청년의 날 기념식 추진 | 02-2116-7102
미래교육국,11,청년정책과 | 주무관 | - 청년 심리상담센터 조성 및 운영 - 에이블랩(도전숙) 운영 - 청년 주거지원사업 발굴 | 02-2116-7122
미래교육국,11,청년정책과 | 청년정책과장 | 청년정책과 업무 총괄 | 02-2116-7100
미래교육국,11,청년정책과 | 주무관 | - 캠퍼스타운 조성 - 청년창업 코칭클래스 운영 - 산학연 협력 촉진 관련 조례 업무 | 02-2116-7115
미래교육국,11,청년정책과 | 주무관 | ○ 국공립어린이집 환경개선 및 운영관리 ○ 국공립어린이집 그린리모델링 사업 ○ 공동육아방 및 서울형 키즈카페 조성 ○ 어린이날 축제 및 구축제 총괄 | 02-2116-3730
미래교육국,12,"청년정책과 | 주무관 | - 청년 평생교육공간 조성 및 운영 - 미취업청년 어학, 자격증 응시료 지원 | 02-2116-7124"
미래교육국,12,청년정책과 | 주무관 | - 청년일자리센터 청년내일 운영 지원 - 청년마켓 운영 - 청년일자리박람회 운영 | 02-2116-7116
미래교육국,12,청년정책과 | 주무관 | -기초생활보장 -주민복지협의회 | 02-2116-2264
미래교육국,12,"청년정책과 | 주무관 | o 복지사각지대 발굴(빈곤, 방문복지,모니터) o 복지협의회(희망나눔,공모사업) o 자활(생활복지과, 복지정책과 통장사업) o 아동청소년복지, 사례관리 총괄 | 02-2116-2903"
미래교육국,12,청년정책과 | 주무관 | - 청년정책 거버넌스 센터 총괄 - 청년정책 발굴 및 사업 기획 - 청년정책네트워크 구성 및 운영 | 02-2116-7107
미래교육국,12,청년정책과 | 주무관 | - 청년자율예산제 '동그라미 활동단 품' 운영 - 청년참여예산 공모 사업 추진 - 청년 뉴스레터 기획 및 발행 - 청년정책 네트워크 운영·지원 | 02-2116-7109
미래교육국,12,청년정책과 | 주무관 | - 청년자율예산제 '청년상생레슨 프로젝트' 추진 - 총학생회 연합회 협력 업무 추진 - 센터 홍보 전반 및 대외협력 업무 | 02-2116-7108
미래교육국,12,청년정책과 / 청년기획팀 | 청년기획팀장 | 청년기획팀 업무 총괄 | 02-2116-7101
미래교육국,12,청년정책과 / 청년일자리팀 | 청년일자리팀장 | 청년일자리팀 업무 총괄 | 02-2116-7111
미래교육국,12,청년정책과 / 청년지원팀 | 청년지원팀장 | 청년지원팀 업무 총괄 | 02-2116-7121
미래교육국,13,고령사회정책과 | 고령사회정책과장 | 고령사회정책과 업무 총괄 | 02-2116-7160
미래교육국,13,고령사회정책과 | 주무관 | 어르신일자리 및 사회활동지원사업 구 직영 역량활용사업 관리 | 02-2116-7172
미래교육국,13,고령사회정책과 | 주무관 | 서무 | 02-2116-7162
미래교육국,13,고령사회정책과 | 주무관 | 어르신친화도시 조성 지역사회보장협의체 | 02-2116-7163
미래교육국,13,"고령사회정책과 | 주무관 | 이웃돕기, 주거복지, 문화누리, 자산형성지원사업 | 02-2116-2228"
미래교육국,13,고령사회정책과 | 주무관 | 어르신일자리 및 사회활동지원사업 수행기관 관리 노원시니어클럽 운영지원 | 02-2116-7173
미래교육국,13,고령사회정책과 | 주무관 | 어르신상담센터 운영지원 | 02-2116-7164
미래교육국,13,"고령사회정책과 | 주무관 | 구직영 공익활동 사업 관리(학교사업단, 공익형) | 02-2116-7174"
미래교육국,13,"고령사회정책과 | 주무관 | 구직영 공익활동 사업관리(학교사업단, 공익형) 어르신일자리지원센터 및 어르신콜센터 관리 운영 | 02-2116-7175"
미래교육국,13,고령사회정책과 | 주무관 | 시니어유튜브 방송국 운영 시니어유튜브 영상콘텐츠 제작 어르신 홍보영상 촬영·편집 어르신 행사·정책사업 홍보 | 02-2116-7165
미래교육국,14,고령사회정책과 | 주무관 | 노원형 어르신일자리사업 운영 관리 | 02-2116-7176
미래교육국,14,고령사회정책과 | 주무관 | 어르신상담센터 운영 총괄 상담사 교육 및 슈퍼비전 지역사회 네트워크 및 대외홍보 상담자원봉사자 양성 및 관리 | 02-2116-2197
미래교육국,14,고령사회정책과 | 주무관 | 찾아가는 상담 운영 위기어르신 안전망TF(원스톱 통합지원센터) 운영 | 02-2116-2198
미래교육국,14,"고령사회정책과 | 주무관 | 내방상담 및 권역상담 운영 집단상담 운영 동년배상담자 교육 및 운영 아웃리치(거리상담), 행사참여 홍보 및 사례발굴 어르신 전화상담 운영 | 02-2116-2199"
미래교육국,14,고령사회정책과 | 주무관 | 어르신일자리지원센터 운영 총괄 민간취업형 어르신일자리사업 총괄 | 02-2116-3771
미래교육국,14,"고령사회정책과 | 주무관 | 구인,구직 상담 민간취업형 어르신일자리사업 발굴,연계 취업교육훈련 운영 관리 | 02-2116-3773"
미래교육국,14,"고령사회정책과 | 주무관 | 구인,구직 상담 민간취업형 어르신일자리사업 발굴,연계 취업교육훈련 운영 관리 | 02-2116-3772"
미래교육국,14,"고령사회정책과 | 주무관 | 구인,구직 상담 민간취업형 어르신일자리사업 발굴,연계 취업교육훈련 운영 관리 | 022-2116-3774"
