No,대분류(국/과),팀명,직위/이름,담당업무,전화번호,기타
404,기획재정국,징수과 / 세외수입2팀,주무관,특별회계(주·정차위반)업무 총괄,02-2116-3795
405,기획재정국,징수과 / 세외수입2팀,주무관,"금융재산 압류 및 해제 기타채권 압류(공탁금,환급금,보상금등) 출국금지 2차납세자지정",02-2116-3797
406,기획재정국,징수과 / 번호판영치팀,번호판영치팀장,번호판영치팀 업무 총괄,02-2116-3551
407,기획재정국,징수과 / 번호판영치팀,주무관,"번호판 영치, 자동차 공매",02-2116-3532
408,기획재정국,재산세과,재산세과장,재산세과 업무 총괄,02-2116-3600
409,기획재정국,재산세과 / 세입관리팀,세입관리팀장,• 세입관리팀 업무 총괄,02-2116-3569
410,기획재정국,재산세과 / 세입관리팀,주무관,"• 납세자보호관, 마을세무사",02-2116-3568
411,기획재정국,재산세과 / 세입관리팀,주무관,"• 서무, 예산",02-2116-3566
412,기획재정국,재산세과 / 세입관리팀,주무관,• 지방세현계 . 세무종합 전산관리,02-2116-3567
413,기획재정국,재산세과 / 세입관리팀,주무관,• 지방세 과오납환급,02-2116-3563
414,기획재정국,재산세과 / 재산1팀,재산1팀장,• 재산1팀 업무총괄,02-2116-3588
415,기획재정국,재산세과 / 재산1팀,주무관,"• 공릉2동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3564
416,기획재정국,재산세과 / 재산1팀,주무관,"• 월계1,중계본동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3587
417,기획재정국,재산세과 / 재산1팀,주무관,"• 공릉1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3584
418,기획재정국,재산세과 / 재산1팀,주무관,"• 월계2,3동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3565
419,기획재정국,재산세과 / 재산2팀,재산2팀장,재산2팀 업무 총괄,02-2116-3596
420,기획재정국,재산세과 / 재산2팀,주무관,"• 부동산 취득세 총괄 • 중계2·3, 4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3589
421,기획재정국,재산세과 / 재산2팀,주무관,"• 상계3·4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3590
422,기획재정국,재산세과 / 재산2팀,주무관,"• 상계2동, 중계1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3594
423,기획재정국,재산세과 / 재산2팀,주무관,"•하계1,2동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3586
424,기획재정국,재산세과 / 재산2팀,주무관,"• 상계3·4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3590
425,기획재정국,재산세과 / 재산3팀,재산3팀장,• 재산3팀 업무총괄,02-2116-3603
426,기획재정국,재산세과 / 재산3팀,주무관,"• 상계5동, 상계8동, 상계9동 재산세 및 취득세 부과, 감액, 감면",02-2116-3593
427,기획재정국,재산세과 / 재산3팀,주무관,"• 상계1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3591
428,기획재정국,재산세과 / 재산3팀,주무관,"• 상계6·7동, 상계9동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3595
429,기획재정국,재산세과 / 법인관리팀,법인관리팀장,• 법인관리팀 업무 총괄,02-2116-3578
430,기획재정국,재산세과 / 법인관리팀,주무관,"• 월계동,중계동 담당 - 법인취득세, 재산세, 세무조사,이의신청 등",02-2116-3577
431,기획재정국,재산세과 / 법인관리팀,주무관,"• 법인감면 총괄 • 상계동,기타동 담당 - 법인세무조사,관리,이의신청 등",02-2116-3575
432,기획재정국,재산세과 / 법인관리팀,주무관,"• 하계동,공릉동 담당 - 법인취득세, 재산세, 세무조사,이의신청 등",02-2116-3576
433,기획재정국,재산세과 / 주택평가팀,주택평가팀장,• 주택평가팀 업무 총괄,02-2116-3582
434,기획재정국,재산세과 / 주택평가팀,주무관,"• 개별주택가격 산정 (정기 총괄) • 시가표준, 토지등급 등",02-2116-3581
435,기획재정국,재산세과 / 주택평가팀,주무관,"• 개별주택가격 산정 (수시 총괄) • 표준주택, 공동주택",02-2116-3580
436,기획재정국,지방소득세과,지방소득세과장,지방소득세과 업무 총괄,02-2116-3540
437,기획재정국,지방소득세과 / 지방소득세1팀,지방소득세1팀장,지방소득세1팀 업무 총괄,02-2116-3541
438,기획재정국,지방소득세과 / 지방소득세1팀,주무관,"상계5동, 하계동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3537
439,기획재정국,지방소득세과 / 지방소득세1팀,주무관,"과서무 상계8, 9, 10동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3539
440,기획재정국,지방소득세과 / 지방소득세1팀,주무관,"상계동(그 외) 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3538
441,기획재정국,지방소득세과 / 지방소득세1팀,주무관,"중계동담당 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0605
442,기획재정국,지방소득세과 / 지방소득세2팀,지방소득세2팀장,지방소득세2팀 업무 총괄,02-2116-0601
443,기획재정국,지방소득세과 / 지방소득세2팀,주무관,"공릉동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0602
444,기획재정국,지방소득세과 / 지방소득세2팀,주무관,"월계동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0606
445,기획재정국,지방소득세과 / 자동차세팀,자동차세팀장,자동차세팀 업무 총괄,02-2116-3534
446,기획재정국,지방소득세과 / 자동차세팀,주무관,자동차세 신고분 총괄,02-2116-3531
447,기획재정국,지방소득세과 / 자동차세팀,주무관,차량취득세 수시분 총괄,02-2116-3529
448,기획재정국,지방소득세과 / 자동차세팀,주무관,"자동차세 수시분, 감면",02-2116-3535
449,기획재정국,지방소득세과 / 자동차세팀,주무관,"자동차세 정기분, 비과세",02-2116-3533
450,기획재정국,지방소득세과 / 자동차세팀,주무관,차량취득세 신고납부,02-2116-4066
451,기획재정국,지방소득세과 / 자동차세팀,주무관,차량취득세 신고납부,02-2116-4067
452,기획재정국,지방소득세과 / 주민세팀,주민세팀장,주민세팀 업무 총괄,02-2116-3542
453,기획재정국,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(월계, 공릉)",02-2116-3549
454,기획재정국,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(상계)",02-2116-3536
455,기획재정국,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(중계, 하계)",02-2116-3530
456,기획예산과,기획예산과,기획예산과장,기획예산과 업무 총괄,02-2116-3170
457,기획예산과,기획예산과 / 기획팀,기획팀장,• 기획팀 업무 총괄,02-2116-3160
458,기획예산과,기획예산과 / 기획팀,주무관,· 주요업무계획 · 간부회의,02-2116-3159
459,기획예산과,기획예산과 / 기획팀,주무관,· 구청장 요청사항 · 구청장 협의회,02-2116-3157
460,기획예산과,기획예산과 / 기획팀,주무관,• 정부혁신 • 정책실명제,02-2116-3155
461,기획예산과,기획예산과 / 기획팀,주무관,"• 공약사업 및 핵심과제 관리 및 점검 • 외부평가 관리(정부합동평가, 매니페스토 등) • 기타 공약사업 관련 현안업무 등",02-2116-3156
462,기획예산과,기획예산과 / 기획팀,주무관,• 과서무,02-2116-3158
463,기획예산과,기획예산과 / 예산팀,예산팀장,• 예산팀 업무총괄,02-2116-3165
464,기획예산과,기획예산과 / 예산팀,주무관,ㅇ 사업예산(문화도시행정국) ㅇ 특별조정교부금,02-2116-3163
465,기획예산과,기획예산과 / 예산팀,주무관,• 사업에산 편성(교육복지국) • 보조금 총괄 • 전환사업 관리,02-2116-3161
466,기획예산과,기획예산과 / 예산팀,주무관,"• 사업예산편성(감사담당관,미디어홍보담당관,기획재정국,보건소) • 시설관리공단 예산편성 및 관리 • 투자심사 • 세입추계",02-2116-3162
467,기획예산과,기획예산과 / 예산팀,주무관,"· 사업예산(안전교통건설국, 탄소중립추진단, 의회사무국) · 기금 · 간주처리",02-2116-3149
468,기획예산과,기획예산과 / 예산팀,주무관,"○ 사업예산(도시계획국, 힐링도시국) ○ 재정공시·재정분석 ○ 통합재정개요",02-2116-3164
469,기획예산과,기획예산과 / 법무통계팀,법무통계팀장,법무통계팀 업무 총괄,02-2116-3169
470,기획예산과,기획예산과 / 법무통계팀,변호사,"• 법령해석 검토 및 법률 자문 • 소송 수행, 소송사건 지휘 및 사무처리 • 행정심판 지휘 및 사무처리 • 법률고문 운영",02-2116-3167
471,기획예산과,기획예산과 / 법무통계팀,주무관,"• 법제심사 • 조례, 규칙심의회 운영 • 서울시 사전보고",02-2116-3168
472,기획예산과,기획예산과 / 법무통계팀,주무관,"• 인구주택총조사 및 경제총조사 • 통계연보 발간 • 규제개혁, 규제신고센터 및 규제개혁위원회 운영 • 중요문서(고시 및 공고)심사 • 법률고문 운영(위,해촉, 자문료 등) • 마을변호사 및 마을법무사 운영",02-2116-3173
473,기획예산과,기획예산과 / 법무통계팀,주무관,· 제안 · 학술연구용역 · 공모사업,02-2116-3152
474,재무과,재무과,재무과장,재무과 업무 총괄,02-2116-3470
475,재무과,재무과 / 재산관리팀,재산관리팀장,재산관리팀 업무 총괄,02-2116-3454
476,재무과,재무과 / 재산관리팀,주무관,ㅇ 과서무,02-2116-3453
477,재무과,재무과 / 재산관리팀,주무관,"ㅇ 공유재산관리 총괄 ㅇ 구유재산 관리계획 총괄 ㅇ 공유재산관리 실태조사, 매각, 소송 (상계동)",02-2116-3451
478,재무과,재무과 / 재산관리팀,주무관,"ㅇ 공유재산 대부료 총괄 ㅇ 공유재산관리(월계동,하계동) ㅇ 재해복구 및 영조물배상 보험",02-2116-3450
479,재무과,재무과 / 재산관리팀,주무관,"ㅇ 공유재산관리(중계동, 공릉동) ㅇ 공유재산 변상금 총괄 ㅇ 공유재산심의회 ㅇ 감정평가사 관리 및 선정",02-2116-3452
480,재무과,재무과 / 계약팀,계약팀장,ㅇ 계약팀 업무 총괄,02-2116-3469
481,재무과,재무과 / 계약팀,주무관,"ㅇ 공사 및 용역 계약 - 도시계획국, 안전교통건설국, 보건소 ㅇ 계약심의위원회",02-2116-3467
482,재무과,재무과 / 계약팀,주무관,"ㅇ 물품,조달 계약 및 지출원인행위 - 주민복지국, 안전교통건설국, 힐링도시국, 탄소중립국 - 보건소",02-2116-3464
483,재무과,재무과 / 계약팀,주무관,"ㅇ 공사, 용역 계약 - 힐링도시국, 감사담당관, 미디어홍보담당관",02-2116-3465
484,재무과,재무과 / 계약팀,주무관,"ㅇ 물품, 조달 계약 및 지출원인행위 - 문화도시행정국, 기획재정국, 미래교육국, 도시계획국 - 감사담당관, 미디어홍보담당관",02-2116-3468
485,재무과,재무과 / 계약팀,주무관,"ㅇ 공사, 용역 계약 - 문화도시행정국, 기획재정국, 주민복지국, 미래교육국 - 탄소중립국 ㅇ 물품수급관리 계획 및 재물조사",02-2116-3466
486,재무과,재무과 / 지출팀,지출팀장,지출팀 업무 총괄,02-2116-3459
487,재무과,재무과 / 지출팀,주무관,"ㅇ구청예산 결산 ㅇ 구금고 및 자금(일반회계, 주차장특별회계) 관리 ㅇ 부서계좌관리 ㅇ 회계공무원 재정 보증 업무 등",02-2116-3461
488,재무과,재무과 / 지출팀,주무관,ㅇ 구쳥예산 심사 및 지출 ㅇ 지출증빙서류 정리 ㅇ 일상경비 교부 및 정산 등,02-2116-3455
489,재무과,재무과 / 지출팀,주무관,"ㅇ 재무회계결산 ㅇ 복식부기 회계처리 및 자산등재 ㅇ 정부재정통계 작성 ㅇ 법인카드, 제로페이Biz 관리",02-2116-3458
490,재무과,재무과 / 지출팀,주무관,ㅇ 직원 보수·수당 관련업무 ㅇ 세금계산서 정리 및 제출 ㅇ 봉급압류 및 공탁업무,02-2116-3456
491,재무과,재무과 / 지출팀,주무관,"ㅇ 국·시비 예산심사 및 지출, 결산 ㅇ 구청예산 심사 및 지출(기획재정국, 교육복지국) ㅇ 인영(직인) 및 수입증지 관련업무 ㅇ 세입·세출외 현금관리",02-2116-3460
492,재무과,재무과 / 보상팀,보상팀장,ㅇ 보상팀 업무 총괄,02-2116-4021
493,재무과,재무과 / 보상팀,주무관,ㅇ 도시계획사업 보상 - 광운대역~월계로간 도로개설 보상 - 화랑대 철도공원조성(공릉동 29-61 일원) 보상 ㅇ 보상완료사업 민원사항 (상계동),02-2116-4019
494,재무과,재무과 / 보상팀,주무관,"ㅇ 도시계획사업 보상 및 소송 - 영축산 근린공원 조성 ㅇ 보상기록부, 매뉴얼 관리 ㅇ 보상완료사업 민원사항 (월계동)",02-2116-4020
495,재무과,재무과 / 보상팀,주무관,"ㅇ 도시계획사업 보상 - 동북선도시철도 민간투자사업 - 불암산 도시자연공원 조성 - 상계로 확장 공사 - 미지급용지 및 하천 편입토지 ㅇ 보상협의회 ㅇ 보상완료사업 민원사항 (공릉, 하계, 중계)",02-2116-4018
496,지역경제과,지역경제과,지역경제팀장,지역경제팀 업무 총괄,02-2116-3480
497,지역경제과,지역경제과,소상공인지원팀장,소상공인지원팀 업무 총괄,02-2116-3490
498,지역경제과,지역경제과,지역경제과장,지역경제과 업무 총괄,02-2116-3500
499,지역경제과,지역경제과,생활사회적경제팀장,생활사회적경제팀 업무 총괄,02-2116-3485
500,지역경제과,지역경제과,상권활성화팀장,상권활성화팀 업무 총괄,02-2116-3489
501,지역경제과,지역경제과,주무관,"• 사회적경제지원센터 예산편성 및 운영계획 수립 • 사회적경제지원센터 제1~4관 운영 총괄 • 차 없는 거리 행사, 철쭉제 힐링마켓 등 행사 추진 • 민간위탁(재위탁, 재계약) 관련 업무 • 위탁시설 운영 지원(스토어 36.5, 갤러리힐링카페) • 사회적경제 성과공유회 추진 • 사회적경제 관련 공모사업 추진",02-2116-0686
502,지역경제과,지역경제과,주무관,• 공릉동 도깨비시장 커피그라인더 전시관 조성 • 공릉동 도깨비시장 시설현대화 및 경영현대화 사업 • 경춘선 공릉숲길 커피축제 추진 • 월계동 권역 상권활성화사업 운영 및 공모사업 추진,02-2116-3487
503,지역경제과,지역경제과,주무관,• 노원어르신행복주식회사 관리 및 연계지원 • 지역공동체 사업추진 및 관리 • 매력일자리 사업 관리 • 타 직원에 속하지 않는 업무,02-2116-3478
504,지역경제과,지역경제과,주무관,"• 노원동행일자리사업 추진 및 관리 • 공공일자리 산업안전보건 업무 • 공공일자리 사업추진 관련 물품 구매 및 지급 • 공공일자리 중복,반복조회 및 관리 등",02-2116-3476
505,지역경제과,지역경제과,주무관,"• 사회적경제위원회 구성 및 관리 • 사회적경제기업 제품 공공구매 활성화 및 사회적경제기업 홍보 지원 • 사회적기업 육성 지원 • 사회적경제지원센터 관리 및 운영 업무 • 사회적경제기업 지원 입주기업 공모, 입주 운영 관리 • 공공구매박람회 행사 및 사회적경제이해교육 추진 • 사회적경제 종사자 대회 지원 • 협동조합 신고, 관리 및 지원 • 마을기업 육성 지원",02-2116-0685
506,지역경제과,지역경제과,주무관,"• 사회적경제위원회 구성 및 관리 • 사회적경제기업 제품 공공구매 활성화 및 사회적경제기업 홍보 지원 • 사회적기업 육성 지원 • 사회적경제지원센터 관리 및 운영 업무 • 사회적경제기업 지원 입주기업 공모, 입주 운영 관리 • 공공구매박람회 행사 및 사회적경제이해교육 추진 • 사회적경제 종사자 대회 지원 • 협동조합 신고, 관리 및 지원 • 마을기업 육성 지원",02-2116-0685
507,지역경제과,지역경제과,주무관,· 사회적경제지원센터 관리 지원 · 사회적경제기업 홍보 및 각종 행사지원 · 지역화폐운영 관리 · 민간위탁 시설 주민알림판 관리,02-2116-0688
508,지역경제과,지역경제과,주무관,"○ 어린이집 지도점검 ○ 노원안심어린이집 관리지원 ○ 열린어린이집, 어린이놀이시설 점검 ○ 어린이집 안전 및 시설관리(중대재해, 감염병) ○ 민간 가정어린이집 석면관리(탄소중립) ○ 어린이집연합회 한마음체육대회 지원 ○ 가정어린이집 연합회",02-2116-3732
509,지역경제과,지역경제과,주무관,• 일자리 종합계획 수립·추진 • 지역일자리 목표공시제 추진 • 공공일자리 월별 자료수합 등(스마트비전시스템 포함) • 노사민정협의회 운영 및 사업 활성화 추진 • 노원메이커스원 지원 및 관리,02-2116-3478
510,지역경제과,지역경제과,주무관,"전입, 확정일자 등",02-2116-2499
511,지역경제과,지역경제과 / 지역경제팀,직업상담사,일자리&생활법률상담센터,02-2116-3502
512,징수과,징수과,세외수입1팀장,세외수입1팀 업무 총괄,02-2116-3596
513,징수과,징수과,징수과장,징수과 업무총괄,02-2116-3550
514,징수과,징수과,주무관,"• 개별주택가격(정기분) • 주택가격조사(상계동,하계동) • 토지등급, 시가표준",02-2116-3581
515,징수과,징수과,주무관,"• 납세자보호관, 마을세무사, 선정대리인",02-2116-3568
516,징수과,징수과,주무관,"• 공릉2동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3564
517,징수과,징수과,주무관,"월계동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0606
518,징수과,징수과,주무관,"• 상계2동, 중계1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3594
519,징수과,징수과 / 세입징수팀,세입징수팀장,세입징수팀 업무 총괄,02-2116-3528
520,징수과,징수과 / 세입징수팀,주무관,"시책사업, 가택수색,고액체납자 명단공개",02-2116-3525
521,징수과,징수과 / 세입징수팀,주무관,체납총괄,02-2116-3522
522,징수과,징수과 / 세입징수팀,주무관,과서무,02-2116-3527
523,징수과,징수과 / 38세금징수팀,주무관,교부청구,02-2116-3573
524,징수과,징수과 / 38세금징수팀,주무관,"부동산압류(상계,하계), 공매",02-2116-3572
525,징수과,징수과 / 38세금징수팀,주무관,제증명 발급,02-2116-3548
526,징수과,징수과 / 세외수입1팀,38세금징수팀장,38세금징수팀 업무 총괄,02-2116-3545
527,징수과,징수과 / 세외수입1팀,주무관,부가가치세 신고 총괄,02-2116-3544
528,징수과,징수과 / 세외수입1팀,주무관,세외수입 현계,02-2116-3546
529,징수과,징수과 / 세외수입2팀,세외수입2팀장,세외수입2팀 업무 총괄,02-2116-3794
530,징수과,징수과 / 세외수입2팀,주무관,특별회계(주·정차위반)업무 총괄,02-2116-3795
531,징수과,징수과 / 세외수입2팀,주무관,"금융재산 압류 및 해제 기타채권 압류(공탁금,환급금,보상금등) 출국금지 2차납세자지정",02-2116-3797
532,징수과,징수과 / 번호판영치팀,번호판영치팀장,번호판영치팀 업무 총괄,02-2116-3551
533,징수과,징수과 / 번호판영치팀,주무관,"번호판 영치, 자동차 공매",02-2116-3532
534,재산세과,재산세과,재산세과장,재산세과 업무 총괄,02-2116-3600
535,재산세과,재산세과 / 세입관리팀,세입관리팀장,• 세입관리팀 업무 총괄,02-2116-3569
536,재산세과,재산세과 / 세입관리팀,주무관,"• 납세자보호관, 마을세무사",02-2116-3568
537,재산세과,재산세과 / 세입관리팀,주무관,"• 서무, 예산",02-2116-3566
538,재산세과,재산세과 / 세입관리팀,주무관,• 지방세현계 . 세무종합 전산관리,02-2116-3567
539,재산세과,재산세과 / 세입관리팀,주무관,• 지방세 과오납환급,02-2116-3563
540,재산세과,재산세과 / 재산1팀,재산1팀장,• 재산1팀 업무총괄,02-2116-3588
541,재산세과,재산세과 / 재산1팀,주무관,"• 공릉2동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3564
542,재산세과,재산세과 / 재산1팀,주무관,"• 월계1,중계본동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3587
543,재산세과,재산세과 / 재산1팀,주무관,"• 공릉1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3584
544,재산세과,재산세과 / 재산1팀,주무관,"• 월계2,3동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3565
545,재산세과,재산세과 / 재산2팀,재산2팀장,재산2팀 업무 총괄,02-2116-3596
546,재산세과,재산세과 / 재산2팀,주무관,"• 부동산 취득세 총괄 • 중계2·3, 4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3589
547,재산세과,재산세과 / 재산2팀,주무관,"• 상계3·4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3590
548,재산세과,재산세과 / 재산2팀,주무관,"• 상계2동, 중계1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3594
549,재산세과,재산세과 / 재산2팀,주무관,"•하계1,2동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3586
550,재산세과,재산세과 / 재산2팀,주무관,"• 상계3·4동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3590
551,재산세과,재산세과 / 재산3팀,재산3팀장,• 재산3팀 업무총괄,02-2116-3603
552,재산세과,재산세과 / 재산3팀,주무관,"• 상계5동, 상계8동, 상계9동 재산세 및 취득세 부과, 감액, 감면",02-2116-3593
553,재산세과,재산세과 / 재산3팀,주무관,"• 상계1동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3591
554,재산세과,재산세과 / 재산3팀,주무관,"• 상계6·7동, 상계9동 재산세 및 취득세 부과,감액,감면,비과세처리 등",02-2116-3595
555,재산세과,재산세과 / 법인관리팀,법인관리팀장,• 법인관리팀 업무 총괄,02-2116-3578
556,재산세과,재산세과 / 법인관리팀,주무관,"• 월계동,중계동 담당 - 법인취득세, 재산세, 세무조사,이의신청 등",02-2116-3577
557,재산세과,재산세과 / 법인관리팀,주무관,"• 법인감면 총괄 • 상계동,기타동 담당 - 법인세무조사,관리,이의신청 등",02-2116-3575
558,재산세과,재산세과 / 법인관리팀,주무관,"• 하계동,공릉동 담당 - 법인취득세, 재산세, 세무조사,이의신청 등",02-2116-3576
559,재산세과,재산세과 / 주택평가팀,주택평가팀장,• 주택평가팀 업무 총괄,02-2116-3582
560,재산세과,재산세과 / 주택평가팀,주무관,"• 개별주택가격 산정 (정기 총괄) • 시가표준, 토지등급 등",02-2116-3581
561,재산세과,재산세과 / 주택평가팀,주무관,"• 개별주택가격 산정 (수시 총괄) • 표준주택, 공동주택",02-2116-3580
562,지방소득세과,지방소득세과,지방소득세과장,지방소득세과 업무 총괄,02-2116-3540
563,지방소득세과,지방소득세과 / 지방소득세1팀,지방소득세1팀장,지방소득세1팀 업무 총괄,02-2116-3541
564,지방소득세과,지방소득세과 / 지방소득세1팀,주무관,"상계5동, 하계동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3537
565,지방소득세과,지방소득세과 / 지방소득세1팀,주무관,"과서무 상계8, 9, 10동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3539
566,지방소득세과,지방소득세과 / 지방소득세1팀,주무관,"상계동(그 외) 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-3538
567,지방소득세과,지방소득세과 / 지방소득세1팀,주무관,"중계동담당 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0605
568,지방소득세과,지방소득세과 / 지방소득세2팀,지방소득세2팀장,지방소득세2팀 업무 총괄,02-2116-0601
569,지방소득세과,지방소득세과 / 지방소득세2팀,주무관,"공릉동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0602
570,지방소득세과,지방소득세과 / 지방소득세2팀,주무관,"월계동 지방소득세 부과징수 (종합, 양도, 법인, 특별징수)",02-2116-0606
571,지방소득세과,지방소득세과 / 자동차세팀,자동차세팀장,자동차세팀 업무 총괄,02-2116-3534
572,지방소득세과,지방소득세과 / 자동차세팀,주무관,자동차세 신고분 총괄,02-2116-3531
573,지방소득세과,지방소득세과 / 자동차세팀,주무관,차량취득세 수시분 총괄,02-2116-3529
574,지방소득세과,지방소득세과 / 자동차세팀,주무관,"자동차세 수시분, 감면",02-2116-3535
575,지방소득세과,지방소득세과 / 자동차세팀,주무관,"자동차세 정기분, 비과세",02-2116-3533
576,지방소득세과,지방소득세과 / 자동차세팀,주무관,차량취득세 신고납부,02-2116-4066
577,지방소득세과,지방소득세과 / 자동차세팀,주무관,차량취득세 신고납부,02-2116-4067
578,지방소득세과,지방소득세과 / 주민세팀,주민세팀장,주민세팀 업무 총괄,02-2116-3542
579,지방소득세과,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(월계, 공릉)",02-2116-3549
580,지방소득세과,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(상계)",02-2116-3536
581,지방소득세과,지방소득세과 / 주민세팀,주무관,"주민세, 면허세(중계, 하계)",02-2116-3530
582,주민복지국,주민복지국,주민복지국장,주민복지국 업무총괄,02-2116-3070
583,주민복지국,주민복지국,주무관,"◦아동통합사례관리 – D, E권역 ◦맞춤서비스 – 학습지지원, 영유아발달스크리닝 ◦사례관리슈퍼비전 ◦행사-가족의 밤",02-2116-4425
584,주민복지국,주민복지국,주무관,- 노원똑똑똑돌봄단 - 이웃사랑봉사단,02-2116-3109
585,주민복지국,복지정책과,복지정책과장,복지정책과 업무 총괄,02-2116-3670
586,주민복지국,복지정책과,1인가구지원팀장,1인가구지원팀 업무 총괄,02-2116-2557
587,주민복지국,복지정책과,주무관,"국민기초생활보장 총괄 차상위, 서울형기초보장 관련 업무 총괄 의료급여, 재해구호 등",02-2116-2813
588,주민복지국,복지정책과,주무관,○ 1인가구 지원 기본·시행 계획 수립 ○ 1인가구 조례 및 자체 정책사업 발굴 ○ 1인가구 관계망 구축 및 민간 네트워크 사업 ○ 1인가구지원센터 운영 및 관리 ○ 1인가구 市 공모사업 지원·관리 ○ 1인가구 사업 홍보 및 온라인플랫폼 관리 ○ 1인가구 지원에 대한 일반업무 ○ 결혼중개업 업무,02-2116-2558
589,주민복지국,복지정책과,주무관,"◦드림스타트 예산 총괄 및 주요업무계획 ◦아동통합사례관리 운영 및 행복e음 관리(사례배정, 선정, 종결, 회의 등) ◦드림스타트 슈퍼비전 및 역량강화교육 ◦드림스타트 필수서비스 운영 ◦자원관리(행복e음 등록 포함) 및 후원물품 관리 ◦드림스타트 사업 평가 ◦드림스타트 운영위원회 및 아동복지기관협의체 운영 ◦저소득 취약계층 아동발굴 및 전수조사 ◦드림스타트 홍보 및 홈페이지 관리 ◦드림스타트 기본서비스 가정방문 지원(A,B 권역)",02-2116-4411
590,주민복지국,복지정책과,주무관,"- 국가형 긴급지원(월계동, 중계동) - 서울형 긴급지원(월계동, 중계동) - 저장장애가구 주거환경 개선 사업",02-2116-3295
591,주민복지국,복지정책과,주무관,- 긴급복지지원 총괄 - 긴급지원(상계),02-2116-3644
592,주민복지국,복지정책과,주무관,- 복지더채움 운영 - 권리구제 검토 및 복지서비스 연계 - 통합사례관리 교육,02-2116-3666
593,주민복지국,복지정책과,주무관,- 고독사 예방사업 총괄 - 위기가정(복지사각지대) 발굴 및 지원 총괄,02-2116-3675
594,주민복지국,복지정책과,주무관,"돌봄sos센터, 자원봉사 관리, 생명존중사업",02-2116-2285
595,주민복지국,복지정책과,주무관,"영유아, 아동수당, 아동행복지원, 다문화가족 방문교육지원",02-2116-2066
596,주민복지국,복지정책과,통합사례관리사,"-통합사례관리 실무수행 및 주민센터 중간조정, 동복지협의회 참여(상2,중4,하1,공1) -동 통합사례관리 모니터링 및 지원 -129이관콜 업무 수행",02-2116-3657
597,주민복지국,복지정책과,통합사례관리사,"-통합사례관리 실무수행 및 주민센터 중간조정, 동복지협의회 참여(월1,월2,월3,하2) -동 통합사례관리 모니터링 및 지원 -129이관콜 업무 수행",02-2116-3292
598,주민복지국,복지정책과,통합사례관리사,"-통합사례관리 실무수행 및 주민센터 중간조정, 동복지협의회 참여(중본,중1,중2·3,상3·4) -동 통합사례관리 모니터링 및 지원 -129 이관콜 업무 수행",02-2116-3296
599,주민복지국,복지정책과,통합사례관리사,"-통합사례관리 실무수행 및 주민센터 중간조정, 동복지협의회 참여(상5,상6·7,상8) -동 통합사례관리 모니터링 및 지원 -129 이관콜 업무 수행",02-2116-3662
